,RMS,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,Head_ID
H17,0.04466479791715731,0.04748070379728466,0.04232290556743625,0.0484235462430362,0.053588014228126646,0.04547558196431287,0.04785725417605683,0.0492577115863973,0.04416486173012745,0.04701472191067125,0.04603080179770932,0.04642411975506796,0.04255300852832705,0.04608569296711815,0.048320280842551105,0.05315254023821885,0.05060136839122173,0.05701815822049036,0.04257710980473234,0.05016329581947923,0.04682352451447709,1
H18,0.05896761267860811,0.04369257738026879,0.04355549525465059,0.04461494076538611,0.03830645767900532,0.044944687184714276,0.04390792361030543,0.04808871051134305,0.049017807957434774,0.057146900033339096,0.052094034749349226,0.04471538816577741,0.043300604475186584,0.04975942930242594,0.04151209130343248,0.05689195477595635,0.053300839114482156,0.04519970214035597,0.03991270160899664,0.0542387338360132,0.04683140747296843,1
H19,0.05354776228198099,0.04034024522625211,0.0445608145400731,0.04733816055756833,0.04753614821881858,0.04523114192420637,0.05035396529124565,0.04252237187256912,0.04664447237605635,0.047885940354251665,0.04981102080129032,0.05080292162230891,0.0422805922279774,0.04058428652543151,0.053761632358311856,0.048912049568494445,0.04390129083856178,0.05525216775010569,0.04786381738547588,0.05323532052952651,0.04763387774949345,1
H20,0.057189757347184414,0.055469543632622305,0.04539507448574489,0.0512880159462953,0.04964201826087552,0.053365431078526177,0.042258591255118785,0.04984435092419832,0.05173541057753251,0.03903372725692201,0.04134593755255627,0.037954072287195266,0.0453023695497152,0.05000156215728357,0.05408385582410639,0.04688554882385738,0.05477103944958338,0.040540029823700655,0.03925040562502851,0.04628163604038579,0.04836162210156724,1
RMS,0.04882628695746131,0.03983691917559897,0.04855155901951424,0.042995323748718284,0.052378990416865286,0.05081533272858713,0.04459181540859633,0.046532529077075134,0.044062847083404307,0.04868010378362568,0.05389579940982507,0.044387846530027274,0.051518602773682906,0.04645632147168631,0.04525218818128907,0.048464679446789234,0.04416859771089842,0.046347779297420746,0.0434560690344916,0.05962117660290439,0.04915923214153829,2
H1,0.043981023117711175,0.048188904139376806,0.04664184007260636,0.04613785851723395,0.05015646748522912,0.05088059280010614,0.04473162223885992,0.044529370150166385,0.045889008822628904,0.03746992766894076,0.04053686036591976,0.054077501232625225,0.055602466971035734,0.046008547523194374,0.04996818461559165,0.04865992589105763,0.06417533069418208,0.05275656871720678,0.04656918422938928,0.04287019181087577,0.04016862293606231,2
H2,0.04828909477558288,0.0438697192692683,0.041043563194668134,0.0443539647725372,0.04246603543426321,0.056012425723586425,0.05167754560744408,0.04727880635137986,0.05486380296749187,0.04768401475555867,0.04341178597151003,0.055101216737347435,0.049936409945064514,0.042654585171149596,0.04642441576772812,0.043349603868234075,0.04120581624715186,0.0519082192813334,0.05727138183735829,0.04114089476066371,0.05005669756067838,2
H3,0.045756298234496035,0.046510642952818225,0.04602360021432833,0.044790435732639085,0.049069902752141195,0.04493867101298892,0.05017111125614237,0.04858767483578171,0.04767937434917704,0.044595695427167,0.04609555720797719,0.0526640378076759,0.05134078287965873,0.0442846528842357,0.049319864751583654,0.052642954808579855,0.0413244021831183,0.051559151672426314,0.045701509573238416,0.05169978238643559,0.04524389707739046,2
H4,0.04135631349246825,0.04209626672169684,0.049775445429323675,0.05084010716835719,0.045253573598946724,0.052803239868638045,0.0419534763291154,0.049210416778861746,0.04388671629165459,0.04641068409155623,0.04977202958043737,0.04545268830831229,0.04766787780080116,0.054780954340932324,0.04675981205062571,0.053854314188094825,0.04424501096901525,0.05223191580248103,0.05721809337806694,0.03868874976736922,0.045742314043245275,2
H5,0.049768346298330345,0.04603340893724949,0.04875396561384528,0.0442242567611575,0.047386194522126134,0.046251977933982384,0.05279677761808693,0.048188193217347186,0.04859070312731712,0.04508205420443575,0.04474194060621536,0.0449889153531381,0.04886772543197325,0.045041014348699615,0.04835885933000012,0.05781290568996168,0.051253526380025394,0.045470765342460105,0.05297358244957229,0.04509919582512652,0.03831569100894952,2
H6,0.042845022860606534,0.03930371032308344,0.04575251525098434,0.04747674226945296,0.056038662147088095,0.04896427027914491,0.04636236652632918,0.05148748018422384,0.037988541921546985,0.04851919886926552,0.05118695099414725,0.04087585278330987,0.05313168853201391,0.049020949988740375,0.045461659636856146,0.050485002066469914,0.059469727559035686,0.048259115985614005,0.04858040087575051,0.04526173741170402,0.04352840353463257,2
H7,0.05148783475153467,0.043497505738402754,0.04772563158750496,0.045175108354160665,0.049710190994267614,0.048993037208261314,0.052565813454531096,0.04502916269724898,0.04612358784959864,0.04296713873711912,0.04532608314655067,0.04920730209245744,0.05111156749510111,0.04321101533168311,0.051690425539527594,0.054264799962051954,0.049385431412294324,0.057167843340986416,0.04385694380108646,0.04183973597397695,0.03966384053165424,2
H8,0.052659516275647134,0.04840867836493957,0.0450910631242915,0.046629780321292,0.04051586526508833,0.05790581058302691,0.045932120036928634,0.04584114345312027,0.04875555791530975,0.04757671497008135,0.04636899105074804,0.04189619835930065,0.047531344270186585,0.05473180511089445,0.05187227990916933,0.05317355571495172,0.04308267608965138,0.0410701694995401,0.044775622247779645,0.045595773613185675,0.05058533382486716,2
H9,0.04119180437916536,0.056851397870733886,0.04802323646749723,0.046749224609713,0.04409186680163398,0.04134701000885582,0.052974085179722484,0.04914708680998633,0.04288360936007183,0.04286166769154011,0.04717703873619745,0.05764986639727543,0.04753786928759745,0.04197908346062771,0.047603746698581285,0.04747548249231443,0.03725540788500712,0.04852389175001299,0.04767429308968757,0.052305755519224,0.058696575504554496,2
H10,0.05321174248466911,0.04628110245142076,0.04256234752646445,0.06149516616362841,0.047824804898701,0.047608700189419796,0.047427872519693194,0.04849356304966536,0.04686103646848634,0.04489185574387499,0.04501234107617728,0.04738696853174291,0.04502780173436716,0.04427136209469349,0.04805112821695865,0.046345531087228255,0.055258484338234784,0.03647129860213594,0.053025518437214085,0.05385154595232006,0.03863982843290382,2
H11,0.0459855697684892,0.045853536120250435,0.04134060696959502,0.044027513144481174,0.042586564723359616,0.05670279195442058,0.05225649792494597,0.05404148084626508,0.051150057288259596,0.04250795474454452,0.045156958128839825,0.04997554881517451,0.04211414310918371,0.05110571083634507,0.04645870558852367,0.045838040511898305,0.05109529419328434,0.04975061061244985,0.04590159148842544,0.05343838918801105,0.04271243404325295,2
H12,0.05080213150880415,0.05068626049115443,0.04631149062342966,0.04935100123229413,0.042149945616338794,0.05239166185523443,0.046892349486938004,0.04533468667705091,0.05305057344008156,0.044518747063796535,0.041491916378707076,0.04088167156000472,0.050751732079207676,0.04202656072402052,0.056930098322745655,0.0387895860975568,0.05659894744586954,0.04878615182768332,0.0473077173955581,0.04523417309754928,0.04971259707597474,2
H13,0.04800684133289574,0.05380880884614119,0.04874144835167786,0.04891759633034318,0.046467157723568346,0.047914225153398805,0.04969414779928914,0.04061307907754241,0.042110135357696685,0.05190594901478033,0.04901829239234401,0.047309383814188956,0.04827676514753689,0.04989222451628252,0.04565581726211506,0.044579607620378985,0.0491408922519086,0.04369657488015849,0.0501958460032404,0.040643894923832635,0.05341131220067973,2
H14,0.05022939397970612,0.04915328192283484,0.05285803542900732,0.056593157687430104,0.053025750340430056,0.03985521336541013,0.04215624976641069,0.04500883423206867,0.048035952913368624,0.050456246085921495,0.044556866098740426,0.048814008006813236,0.044424998989976136,0.04506873929880678,0.04162390055487755,0.04368554720957496,0.04185336433299078,0.043456190655213806,0.0532344010795295,0.04357139058174621,0.06233847746914255,2
H15,0.04838011430791443,0.04691046055667634,0.04226339308997714,0.049391980143540445,0.04347531454002273,0.046616663323588624,0.05948745985670326,0.04561109908220239,0.05166003217189339,0.04292435735338649,0.045890504808592913,0.05497272435278779,0.0432527308325813,0.05520215175547704,0.049428751613057674,0.04353261382197633,0.04905773411203938,0.0507551211790966,0.0490057713595542,0.03935939124830563,0.04282163049062583,2
H16,0.04597285273655814,0.04677550109677881,0.05014255945944396,0.04796986628433756,0.041234219914382926,0.04895114270486382,0.050092009405185274,0.049838210688676755,0.05250356124247854,0.05122333261556001,0.04933930059828244,0.04679546782021425,0.039913189555824055,0.049193659824802886,0.048113927905794926,0.04842231744349505,0.04147654432022653,0.04229620111616654,0.05235870526961512,0.046938930818633956,0.05044849917867839,2
H17,0.04734294259182892,0.04734974987602671,0.05185307838135834,0.04483465773062657,0.04766502978910139,0.04507638045470564,0.045201772491184226,0.04577182425494206,0.04826947148067736,0.045002185760799875,0.05352567984144749,0.04316910999184528,0.04633505299635806,0.045178116320252745,0.05455905601756353,0.04814616079852258,0.05234049618890939,0.0406919337935222,0.0484867686704983,0.05160141026244741,0.04759912230738182,2
H18,0.05200103365945845,0.044388779073740635,0.05382027758617257,0.0588272610818805,0.04507968505997159,0.04470857451402711,0.05405780876595307,0.0547442737133874,0.04436405441185884,0.04482190080547621,0.04544655853968851,0.04086485929682934,0.042642455471126675,0.04227946394654972,0.04329061216733228,0.046583531165626274,0.047853154103133455,0.05458535417553996,0.042303936994192555,0.051580711723199515,0.04575571374485553,2
H19,0.04670179167690358,0.05020983128196283,0.041949088247933634,0.048762904748093264,0.047721122586510185,0.04930246239578144,0.048310347176283235,0.05999486136079496,0.04403368468952885,0.044506231143957624,0.0440980184322473,0.04439741240887873,0.04403523847608668,0.05285913545593297,0.0540970321296128,0.044329672954179736,0.043185005637108274,0.04919886018287885,0.04441186201019795,0.04999995384622181,0.04789548315890542,2
H20,0.03957986810216026,0.053766228088484434,0.055118355234709385,0.04332007485922465,0.04430621068341431,0.047393332692162,0.04762418394232254,0.04919290700298663,0.056312440181520644,0.04524989259186191,0.04252385849532374,0.04012353606529375,0.04281129695206169,0.045905380019182415,0.05511108114142607,0.04373435239688312,0.04710003830990886,0.04598212479821388,0.0518696762395453,0.05929875209300135,0.043676410110313126,2
RMS,0.0429362460609848,0.050052697363967565,0.048271892668969404,0.05423524872605043,0.04780131399337278,0.04349870210180441,0.04783347905903732,0.050376795788901835,0.04894555354144068,0.047436297851402284,0.050165512015168445,0.050682965554982,0.05177338473891965,0.04811198424336504,0.044342718026347414,0.04575640027377444,0.05087192535423736,0.04155287625652606,0.046783362654122994,0.043350855110107396,0.04521978861651777,3
H1,0.05250159508601684,0.0470922419146809,0.046415897555483386,0.04032665849476905,0.049780518965645656,0.049281402743375766,0.05735866017239136,0.044800555637679554,0.04722452703666995,0.04736751867761518,0.05409510458212223,0.045762675443741775,0.047508114025567205,0.04909651312220821,0.04707110250380574,0.044183658521394636,0.0471063289570324,0.051437194565792696,0.041693566466572324,0.04681929165705833,0.043076873870377,3
H2,0.05334185597683966,0.04064589959742726,0.04476042890587021,0.04915299781802492,0.05535511425750932,0.04702322480110295,0.044777093273745155,0.057130170515027084,0.04095259836532487,0.03799049720158953,0.04946266267086451,0.04501569595873788,0.04273821003791478,0.050807922401084574,0.04850159683573121,0.04473735287231956,0.041645203945142685,0.051648563516476016,0.050513305067753644,0.0468663092340532,0.05693329674746089,3
H3,0.04178412777482478,0.039923794864213304,0.04339456569035084,0.046291873351050825,0.047648872641902165,0.04539497517516517,0.0481697179537101,0.041032772772798445,0.053726238033028166,0.04612291545293762,0.052000566299922904,0.04812479632466398,0.04867669374441134,0.04922992910882931,0.048632687238322855,0.049590401741730086,0.053113985753673314,0.0474263102236185,0.04992018357834835,0.04608794671712449,0.05370664555937359,3
H4,0.04558079647386131,0.05839438695075666,0.048575045550694376,0.04226875741875984,0.04939929582600852,0.0455595637077058,0.053047624363098254,0.045689263234657176,0.046642278079312705,0.04037342029562398,0.046613728285255444,0.03827273624845039,0.04162643597978376,0.05262373184112952,0.052757489532264806,0.05089025667172686,0.04427535110591181,0.04853836870258242,0.04875293857837285,0.043436029049704734,0.0566825021043387,3
H5,0.05095647660653314,0.045656191245372284,0.04680191979492505,0.04765911584685867,0.038056129142093345,0.04553666844070855,0.04359913081158209,0.04222758322541834,0.04538245652226232,0.05586869984512645,0.04976539811515062,0.04408491852767177,0.04942685587048374,0.053687015921108035,0.051197925197250305,0.04695542166611946,0.043752202818416144,0.05005177505682869,0.048549513689064,0.051047417794683296,0.049737183862343805,3
H6,0.05039038814193965,0.043005226410253464,0.0517582883385071,0.04627515159242233,0.055833344419249815,0.042348220108456486,0.053970713357192196,0.04627659159930375,0.04250847099194216,0.04322662351452054,0.04393935743107277,0.04733555803312065,0.04780492763066271,0.042840125432053115,0.04525936973429882,0.05620873712924329,0.05392528572900465,0.047393142292251854,0.0455424802246386,0.04591759176802765,0.0482404061218383,3
H7,0.042208309582131946,0.04556585827117219,0.03956868253568714,0.048658118967858745,0.04987979254279265,0.04454846606121155,0.054723599092240525,0.04136023042574086,0.04038501820522373,0.04781510288657984,0.051914918608384104,0.055328554796100285,0.04465686028942532,0.05207913824716493,0.04657414322671571,0.04595366644673331,0.051073325827339665,0.04990537216341653,0.03993516052460951,0.05419292704901526,0.05367275425045641,3
H8,0.04533796937351318,0.050213377784469444,0.05070903735096764,0.049539409491847076,0.0456804589424149,0.04512961986933699,0.04814155437558815,0.05427013249672802,0.05096102592572676,0.04650871406919234,0.05213679818830624,0.036301057225616495,0.054140238943810676,0.040557866211629066,0.04654674299736464,0.043152231801185,0.042403587945346446,0.05420557735174613,0.04605936037192038,0.04996643678629952,0.048038802496990864,3
H9,0.0491324110003075,0.04720486811260412,0.041203187246990625,0.05175088420522117,0.0445868591549281,0.040091191477496894,0.04488049632325904,0.05442865792315525,0.05100058026258669,0.04523855105193329,0.04523581162434839,0.04536093767368505,0.05765572999066399,0.04866735035681163,0.04890203449671445,0.05192722304962794,0.047975657749191054,0.045645755410319754,0.04593281802513528,0.04650941244142172,0.04666958242359821,3
H10,0.050244977628421776,0.04696216269624512,0.05027015935134468,0.046343265364539706,0.04708766885140357,0.03825703907454277,0.05120209285875085,0.048365970977872645,0.05162203678898532,0.034971103355618205,0.057569050775107274,0.04607122999898925,0.052193915226969555,0.04210460205458989,0.049671187190481234,0.04204775867493299,0.04389369745449459,0.05657407125852629,0.04583643962649423,0.04774579151376935,0.050965779277920925,3
H11,0.0476505753124865,0.04603345457201638,0.04703173634362857,0.057666018937459346,0.04508567800636378,0.046267344950746574,0.050369808331814474,0.050646954889218845,0.051061436526268905,0.04833710751143136,0.04044835696111796,0.05339246697730824,0.04043484752373216,0.04673952009285601,0.042051662838039065,0.04505629375479061,0.0468617958452735,0.04682710661794255,0.047300392348978586,0.05328727937735921,0.0474501622811673,3
H12,0.04673621340758718,0.052738392050649556,0.053940523575493705,0.0423587153742288,0.05083956969528231,0.051369892387747425,0.04648727527124904,0.054954504759308034,0.04717808182837493,0.04849654802881452,0.047069620502393876,0.04796602175593405,0.042918693060730394,0.04146832518003358,0.05617015026493715,0.04400216514584888,0.043371204948391806,0.038613268620142305,0.04492699327486887,0.0419561907307112,0.056437650137272415,3
H13,0.050581983455585865,0.042682914495370865,0.05727460468703797,0.0504402917139167,0.044262180867485366,0.03561166220634795,0.057495575845426396,0.03979162643557078,0.03878656295555642,0.05064653354508588,0.05835756426461314,0.052511963908974654,0.04837604038428762,0.048525487721249684,0.049797027905809615,0.04932872678438806,0.04702751651499266,0.04620249755047283,0.04543825779848117,0.04240292250548534,0.04445805845386097,3
H14,0.041460991899184514,0.048628741729155996,0.044486670352975766,0.043978011952673084,0.050000756109360736,0.05644399688568091,0.05383266144322478,0.04197182886907554,0.044482057193586194,0.05395367625021244,0.04451383203102901,0.0480184540974734,0.051886255177196666,0.04457683221057054,0.04962954208600017,0.042976186625964065,0.04624308540341965,0.05070512071536094,0.04187752718591036,0.05132080298128902,0.04901296880065616,3
H15,0.05006400329237462,0.04844575268697693,0.05429690896847707,0.04796999481918957,0.04538187077387347,0.04795595605822247,0.05001800597755498,0.04760506981483263,0.047565724406676786,0.04416153178234452,0.04433450046534229,0.04117341289922167,0.056430564279446274,0.04183222325058243,0.04420167735043793,0.044089097545194765,0.051808057892744355,0.04599617723362369,0.05366856586695854,0.04428757637971209,0.04871332825621287,3
H16,0.042031638076938,0.05662622631547728,0.040576841021751214,0.0471313977864265,0.04868324937921134,0.04762401911965331,0.04485470829443158,0.045104194995465266,0.045894187486870824,0.0450267666514051,0.05031711306662008,0.056997626563795784,0.04321588556529771,0.03984420720272627,0.045291941405320356,0.059141226985454175,0.042164973762973824,0.05383204964578899,0.05404015649425573,0.04323275836632343,0.04836883181381318,3
H17,0.056734376704801144,0.046415241304785256,0.04723724260851368,0.04548454347488349,0.04355676294392381,0.04517812011034292,0.04265509080208777,0.048373348083227775,0.044636117141145265,0.049349086100264394,0.041262375964738314,0.049830571389872,0.0523993167411799,0.039494723927640904,0.0500461866863344,0.054505823819739396,0.042716128003479056,0.056985559547961744,0.05027171318166537,0.044927023357279855,0.047940648106133646,3
H18,0.049478877919742904,0.04714904327142844,0.04938213789866327,0.04267638911843506,0.04759126618852862,0.04062329736977833,0.046274477741905067,0.04274800016052814,0.04347387505828152,0.05294864577012885,0.052187561999449704,0.04973092587819926,0.04195014553251604,0.045334681409264124,0.052827027729719284,0.047459886994112015,0.05900641297925389,0.04866913069626896,0.04769936522784269,0.04536775144902471,0.047421099606929196,3
H19,0.04663267891414916,0.050823528708972866,0.052102804418985946,0.04377004140632147,0.04144740391500981,0.03940639078993123,0.04981657081353003,0.04240269335031391,0.03817800192710874,0.04922523525563897,0.060754946027323606,0.04732039810420644,0.051490515244369296,0.04773817914495357,0.046883208233015505,0.05190713162144568,0.045994466180662344,0.048632292970344354,0.048897111434673506,0.0442891398944031,0.052287261644640454,3
H20,0.0466689081034214,0.04403565397032268,0.05011022723083966,0.043411628415795885,0.047626639353816044,0.047449322159031,0.052940238179136234,0.04980144315032379,0.04737389996374557,0.0515396167469289,0.054576036482449304,0.05021707809209003,0.047541803668402945,0.041653713154592785,0.04269418690613617,0.046064918292211154,0.04468433170487838,0.04661288518125426,0.04776241970947032,0.05007607828302834,0.04715897125212524,3
RMS,0.049486570437259764,0.04744155847116133,0.038687034089412084,0.042910546063229936,0.046462354706834234,0.04176596150788231,0.05005107765431596,0.054933658457870474,0.05324624838556119,0.04614122845906121,0.05471422758827976,0.04784266955424968,0.045574236461442555,0.04433218326075724,0.045732270906013464,0.04534198761999487,0.04794683468487904,0.047899667468466106,0.04715102585467385,0.049241904627378125,0.05309675374127693,4
H1,0.054351500965919355,0.04260736047548302,0.03828754711895871,0.054268763708673916,0.04311318843475618,0.048329409907049065,0.043969909004678114,0.04127755016161043,0.05217811160980585,0.053326443419720766,0.046658997270765744,0.03814568278457209,0.04680042909062902,0.051403034971199794,0.042632874580496166,0.05034265895757543,0.049352372090084425,0.05237586880516237,0.05002259749109156,0.044844902356929874,0.05571079679483809,4
H2,0.04622537829884148,0.04683596845423375,0.042779333443122576,0.04492766236186831,0.042987167761189354,0.04615878555599242,0.05573190403868547,0.04094344827062256,0.0399658675510468,0.05440733346672069,0.04599117593948331,0.04392460513629019,0.05211080866066656,0.04420422463205052,0.0563725811095825,0.050258239594869414,0.04472760075346356,0.05827147766273091,0.044203785318209954,0.0505817811736712,0.048390870816658445,4
H3,0.05337375560379631,0.05477841052440508,0.04700929946187427,0.04345836012258339,0.04906481810450814,0.043788599194932575,0.05731049426142658,0.0475032704966212,0.045178118832131825,0.04773252630555734,0.04095330024722643,0.04252038569206862,0.05283566408855586,0.0438798668164322,0.04220142253585827,0.049442496299784006,0.05275800126428846,0.05035210165409354,0.05176684035533682,0.04344368576407244,0.04064858237444653,4
H4,0.05335988114375814,0.04446301967227735,0.04478362267623327,0.05244396273940475,0.04854779661656497,0.048063093042560144,0.057021366214090735,0.043059117020447485,0.050385821788282846,0.04618370921257779,0.047171270756099656,0.053504868598880505,0.048313420760469704,0.048460809360727074,0.05112003745207083,0.044275458352462375,0.04222467822733462,0.04136540442444964,0.037723760579708214,0.05640436346784615,0.041124537893753754,4
H5,0.04528983264883827,0.045038901532732586,0.04774854496851757,0.05023849904776192,0.05046375085345793,0.04368043022934905,0.04553565991710942,0.047630147893956726,0.04516573897761387,0.05437706590922866,0.04863315111047107,0.04983391136649546,0.04947641303588311,0.052068247529900774,0.047148871789860186,0.04067138321442386,0.048191213889634585,0.043383198527053364,0.04391896611085286,0.04909927783726109,0.052406793609597664,4
H6,0.046203486165962905,0.04755140787998145,0.054660951620768915,0.04722877816369982,0.05980542686698329,0.0487877404137522,0.03866179177823715,0.049712790683838104,0.04789657190896557,0.05245225730098434,0.04931588454278237,0.045471351819081296,0.0407925012683598,0.04515160240705434,0.04234608827669428,0.04350499463611793,0.04890041759146144,0.05448462469288178,0.04796133899129292,0.04090857871147599,0.04820141427962409,4
H7,0.05391740179543376,0.04500672126493842,0.047199741402916516,0.047906871534586504,0.04422544486761339,0.05104043562008623,0.0472614671561866,0.04988614829194928,0.043774038472544304,0.04578901890438582,0.051420054733382646,0.04608588934940952,0.05685399643502379,0.04596253057900729,0.04892353666461914,0.052512393776973455,0.04151079679765024,0.040113352113191,0.04106780573232232,0.0542741763869444,0.04526817812083538,4
