Sample_ID,Condition,Health_State,Wind_Speed_m_s,Active_Power_MW,Segment,Node,Physical_Location,Harmonic_Band,Measured_Amplitude_pu
10,Collector Cable Aging (Mild),Cable_Fault_C,11.0,4.2,Generator (A),Node A,Generator Output,"2nd, 3rd, 17th, 19th",0.0086
10,Collector Cable Aging (Mild),Cable_Fault_C,11.0,4.2,Converter (B),Node B,Converter Outlet,"5th, 7th & Switching Sidebands",0.0078
10,Collector Cable Aging (Mild),Cable_Fault_C,11.0,4.2,Collector Cable (C1),Node C1,Box Transformer LV,"11th, 13th (Reference)",0.0224
10,Collector Cable Aging (Mild),Cable_Fault_C,11.0,4.2,Collector Cable (C2),Node C2,Collector Station Inlet,"11th, 13th (Resonance)",0.0514
10,Collector Cable Aging (Mild),Cable_Fault_C,11.0,4.2,Main Cable (D1),Node D1,Collector Station Outlet,>17th (Energy Reference),0.013
10,Collector Cable Aging (Mild),Cable_Fault_C,11.0,4.2,Main Cable (D2),Node D2,Booster Station Inlet,>17th (Impedance Mismatch),0.0057
10,Collector Cable Aging (Mild),Cable_Fault_C,11.0,4.2,Grid PCC (E),Node E,Grid Connection Point,Inter-harmonics,0.0149
11,Collector Cable Aging (Moderate),Cable_Fault_C,11.0,4.2,Generator (A),Node A,Generator Output,"2nd, 3rd, 17th, 19th",0.0127
11,Collector Cable Aging (Moderate),Cable_Fault_C,11.0,4.2,Converter (B),Node B,Converter Outlet,"5th, 7th & Switching Sidebands",0.007
11,Collector Cable Aging (Moderate),Cable_Fault_C,11.0,4.2,Collector Cable (C1),Node C1,Box Transformer LV,"11th, 13th (Reference)",0.0171
11,Collector Cable Aging (Moderate),Cable_Fault_C,11.0,4.2,Collector Cable (C2),Node C2,Collector Station Inlet,"11th, 13th (Resonance)",0.1032
11,Collector Cable Aging (Moderate),Cable_Fault_C,11.0,4.2,Main Cable (D1),Node D1,Collector Station Outlet,>17th (Energy Reference),0.0121
11,Collector Cable Aging (Moderate),Cable_Fault_C,11.0,4.2,Main Cable (D2),Node D2,Booster Station Inlet,>17th (Impedance Mismatch),0.0123
11,Collector Cable Aging (Moderate),Cable_Fault_C,11.0,4.2,Grid PCC (E),Node E,Grid Connection Point,Inter-harmonics,0.0127
12,Collector Cable Aging (Severe),Cable_Fault_C,11.0,4.2,Generator (A),Node A,Generator Output,"2nd, 3rd, 17th, 19th",0.0057
12,Collector Cable Aging (Severe),Cable_Fault_C,11.0,4.2,Converter (B),Node B,Converter Outlet,"5th, 7th & Switching Sidebands",0.0086
12,Collector Cable Aging (Severe),Cable_Fault_C,11.0,4.2,Collector Cable (C1),Node C1,Box Transformer LV,"11th, 13th (Reference)",0.0182
12,Collector Cable Aging (Severe),Cable_Fault_C,11.0,4.2,Collector Cable (C2),Node C2,Collector Station Inlet,"11th, 13th (Resonance)",0.1486
12,Collector Cable Aging (Severe),Cable_Fault_C,11.0,4.2,Main Cable (D1),Node D1,Collector Station Outlet,>17th (Energy Reference),0.0112
12,Collector Cable Aging (Severe),Cable_Fault_C,11.0,4.2,Main Cable (D2),Node D2,Booster Station Inlet,>17th (Impedance Mismatch),0.0083
12,Collector Cable Aging (Severe),Cable_Fault_C,11.0,4.2,Grid PCC (E),Node E,Grid Connection Point,Inter-harmonics,0.0056
13,Main Cable Overheating (Mild),Cable_Fault_D,11.0,4.2,Generator (A),Node A,Generator Output,"2nd, 3rd, 17th, 19th",0.0081
13,Main Cable Overheating (Mild),Cable_Fault_D,11.0,4.2,Converter (B),Node B,Converter Outlet,"5th, 7th & Switching Sidebands",0.0083
13,Main Cable Overheating (Mild),Cable_Fault_D,11.0,4.2,Collector Cable (C1),Node C1,Box Transformer LV,"11th, 13th (Reference)",0.0123
13,Main Cable Overheating (Mild),Cable_Fault_D,11.0,4.2,Collector Cable (C2),Node C2,Collector Station Inlet,"11th, 13th (Resonance)",0.0114
13,Main Cable Overheating (Mild),Cable_Fault_D,11.0,4.2,Main Cable (D1),Node D1,Collector Station Outlet,>17th (Energy Reference),0.0219
13,Main Cable Overheating (Mild),Cable_Fault_D,11.0,4.2,Main Cable (D2),Node D2,Booster Station Inlet,>17th (Impedance Mismatch),0.0497
13,Main Cable Overheating (Mild),Cable_Fault_D,11.0,4.2,Grid PCC (E),Node E,Grid Connection Point,Inter-harmonics,0.0062
14,Main Cable Overheating (Moderate),Cable_Fault_D,11.0,4.2,Generator (A),Node A,Generator Output,"2nd, 3rd, 17th, 19th",0.0121
14,Main Cable Overheating (Moderate),Cable_Fault_D,11.0,4.2,Converter (B),Node B,Converter Outlet,"5th, 7th & Switching Sidebands",0.0126
14,Main Cable Overheating (Moderate),Cable_Fault_D,11.0,4.2,Collector Cable (C1),Node C1,Box Transformer LV,"11th, 13th (Reference)",0.0106
14,Main Cable Overheating (Moderate),Cable_Fault_D,11.0,4.2,Collector Cable (C2),Node C2,Collector Station Inlet,"11th, 13th (Resonance)",0.0127
14,Main Cable Overheating (Moderate),Cable_Fault_D,11.0,4.2,Main Cable (D1),Node D1,Collector Station Outlet,>17th (Energy Reference),0.0179
14,Main Cable Overheating (Moderate),Cable_Fault_D,11.0,4.2,Main Cable (D2),Node D2,Booster Station Inlet,>17th (Impedance Mismatch),0.0902
14,Main Cable Overheating (Moderate),Cable_Fault_D,11.0,4.2,Grid PCC (E),Node E,Grid Connection Point,Inter-harmonics,0.0093
15,Main Cable Overheating (Severe),Cable_Fault_D,11.0,4.2,Generator (A),Node A,Generator Output,"2nd, 3rd, 17th, 19th",0.0053
15,Main Cable Overheating (Severe),Cable_Fault_D,11.0,4.2,Converter (B),Node B,Converter Outlet,"5th, 7th & Switching Sidebands",0.0061
15,Main Cable Overheating (Severe),Cable_Fault_D,11.0,4.2,Collector Cable (C1),Node C1,Box Transformer LV,"11th, 13th (Reference)",0.0053
15,Main Cable Overheating (Severe),Cable_Fault_D,11.0,4.2,Collector Cable (C2),Node C2,Collector Station Inlet,"11th, 13th (Resonance)",0.0114
15,Main Cable Overheating (Severe),Cable_Fault_D,11.0,4.2,Main Cable (D1),Node D1,Collector Station Outlet,>17th (Energy Reference),0.0161
15,Main Cable Overheating (Severe),Cable_Fault_D,11.0,4.2,Main Cable (D2),Node D2,Booster Station Inlet,>17th (Impedance Mismatch),0.1301
15,Main Cable Overheating (Severe),Cable_Fault_D,11.0,4.2,Grid PCC (E),Node E,Grid Connection Point,Inter-harmonics,0.0141
