Event_ID,Contagion_Path,Source_Node,Target_Node,Measured_Propagation_Delay_ms,Wind_Speed_m_s,Active_Power_MW,Contagion_Severity_pu,Mitigation_Status
63,Bilateral_Backward,C,A,50.68,11.58,3.43,0.6548,Propagated
64,Reverse,E,A,2.759,9.3,2.52,0.5817,Propagated
65,Bilateral_Forward,C,E,500.0,9.55,2.62,0.5334,Propagated
66,Bilateral_Forward,C,E,7348.24,8.24,2.1,0.6106,Propagated
67,Forward,A,E,216.14,11.17,3.27,0.6796,Propagated
68,Bilateral_Forward,C,E,18617.79,12.74,3.9,0.3407,Blocked
69,Bilateral_Backward,C,A,45.91,11.5,3.4,0.7196,Propagated
70,Reverse,E,A,4.817,17.54,5.0,0.6764,Propagated
71,Reverse,E,A,4.585,11.64,3.46,0.2658,Propagated
72,Forward,A,E,1079.39,9.2,2.48,0.9094,Blocked
73,Bilateral_Backward,C,A,66.55,5.72,1.09,0.5594,Propagated
74,Reverse,E,A,0.171,6.74,1.5,0.0914,Propagated
75,Reverse,E,A,4.9,7.63,1.85,0.0654,Blocked
76,Forward,A,E,641.45,7.6,1.84,0.4405,Propagated
77,Reverse,E,A,4.751,18.3,5.0,0.2848,Propagated
78,Bilateral_Backward,C,A,45.37,12.55,3.82,0.8208,Blocked
79,Bilateral_Forward,C,E,4783.63,19.16,5.0,0.8998,Attenuated
80,Bilateral_Forward,C,E,14086.28,13.63,4.25,0.3994,Blocked
81,Forward,A,E,1667.09,17.31,5.0,0.6133,Attenuated
82,Bilateral_Forward,C,E,11787.88,7.94,1.98,0.1124,Propagated
83,Reverse,E,A,0.291,14.27,4.51,0.3529,Blocked
84,Forward,A,E,1863.53,5.35,0.94,0.783,Propagated
85,Bilateral_Forward,C,E,5902.75,10.23,2.89,0.893,Propagated
86,Forward,A,E,1627.0,9.23,2.49,0.2097,Blocked
87,Bilateral_Forward,C,E,4289.22,15.97,5.0,0.1649,Propagated
88,Bilateral_Forward,C,E,2083.67,18.96,5.0,0.8226,Propagated
89,Forward,A,E,1346.72,8.57,2.23,0.39,Propagated
90,Bilateral_Forward,C,E,8756.66,9.8,2.72,0.856,Propagated
91,Bilateral_Forward,C,E,15915.31,17.71,5.0,0.3694,Attenuated
92,Bilateral_Backward,C,A,50.97,14.48,4.59,0.4536,Propagated
93,Forward,A,E,806.77,8.19,2.08,0.9016,Blocked
94,Bilateral_Backward,C,A,55.95,6.37,1.35,0.495,Propagated
95,Bilateral_Backward,C,A,68.14,19.53,5.0,0.6692,Attenuated
96,Forward,A,E,106.61,6.26,1.3,0.6809,Propagated
97,Reverse,E,A,4.47,7.2,1.68,0.512,Propagated
98,Bilateral_Forward,C,E,2344.19,10.56,3.02,0.7815,Attenuated
99,Forward,A,E,896.22,10.25,2.9,0.6874,Propagated
100,Bilateral_Forward,C,E,4086.8,11.36,3.34,0.8657,Propagated
