Incident_ID,Protection_Strategy,Action_Timing,Secondary_Damage_Risk,Secondary_Damage_Cost_kUSD,OM_Cost_kUSD,Total_Cost_kUSD,Relative_Cost_Percent
17,Proposed Lesion Elimination,25.79s before fault,Very Low (Smooth derating),3.07,8.48,11.55,6.9
18,SCADA Threshold Trip,At Fault (0s),Very High,145.91,52.18,198.09,100.0
18,Expert System Warning,1.46s before fault,High,49.51,37.99,87.5,44.17
18,Proposed Lesion Elimination,23.6s before fault,Very Low (Smooth derating),1.17,8.24,9.41,4.75
19,SCADA Threshold Trip,At Fault (0s),Very High,125.99,53.24,179.22,100.0
19,Expert System Warning,2.49s before fault,High,37.79,35.04,72.83,40.64
19,Proposed Lesion Elimination,17.42s before fault,Very Low (Smooth derating),2.52,8.72,11.25,6.28
20,SCADA Threshold Trip,At Fault (0s),Very High,145.26,47.71,192.96,100.0
20,Expert System Warning,1.97s before fault,High,40.42,35.97,76.39,39.59
20,Proposed Lesion Elimination,21.85s before fault,Very Low (Smooth derating),2.69,9.98,12.67,6.56
21,SCADA Threshold Trip,At Fault (0s),Very High,110.62,51.98,162.6,100.0
21,Expert System Warning,2.43s before fault,High,42.67,43.8,86.46,53.18
21,Proposed Lesion Elimination,19.85s before fault,Very Low (Smooth derating),1.81,9.04,10.86,6.68
22,SCADA Threshold Trip,At Fault (0s),Very High,131.58,35.76,167.33,100.0
22,Expert System Warning,1.72s before fault,High,47.55,37.88,85.43,51.05
22,Proposed Lesion Elimination,17.82s before fault,Very Low (Smooth derating),2.58,7.21,9.79,5.85
23,SCADA Threshold Trip,At Fault (0s),Very High,112.98,51.73,164.72,100.0
23,Expert System Warning,2.94s before fault,High,42.82,36.28,79.1,48.02
23,Proposed Lesion Elimination,11.47s before fault,Very Low (Smooth derating),1.36,8.58,9.94,6.03
24,SCADA Threshold Trip,At Fault (0s),Very High,134.94,47.53,182.48,100.0
24,Expert System Warning,1.86s before fault,High,33.86,45.1,78.96,43.27
24,Proposed Lesion Elimination,24.14s before fault,Very Low (Smooth derating),1.83,8.15,9.98,5.47
25,SCADA Threshold Trip,At Fault (0s),Very High,115.18,60.38,175.56,100.0
25,Expert System Warning,2.69s before fault,High,55.39,43.95,99.34,56.59
25,Proposed Lesion Elimination,27.37s before fault,Very Low (Smooth derating),1.9,8.24,10.14,5.78
26,SCADA Threshold Trip,At Fault (0s),Very High,118.93,49.81,168.74,100.0
26,Expert System Warning,2.06s before fault,High,36.72,41.98,78.7,46.64
26,Proposed Lesion Elimination,28.68s before fault,Very Low (Smooth derating),1.0,8.58,9.58,5.68
27,SCADA Threshold Trip,At Fault (0s),Very High,133.74,51.73,185.48,100.0
27,Expert System Warning,1.91s before fault,High,68.5,34.1,102.6,55.32
27,Proposed Lesion Elimination,23.34s before fault,Very Low (Smooth derating),1.48,9.61,11.09,5.98
28,SCADA Threshold Trip,At Fault (0s),Very High,129.19,44.73,173.92,100.0
28,Expert System Warning,2.94s before fault,High,39.79,43.61,83.4,47.95
28,Proposed Lesion Elimination,18.88s before fault,Very Low (Smooth derating),2.11,8.31,10.42,5.99
29,SCADA Threshold Trip,At Fault (0s),Very High,133.05,52.48,185.53,100.0
29,Expert System Warning,2.89s before fault,High,61.03,42.38,103.4,55.73
29,Proposed Lesion Elimination,22.36s before fault,Very Low (Smooth derating),2.53,8.7,11.23,6.05
30,SCADA Threshold Trip,At Fault (0s),Very High,136.58,55.94,192.52,100.0
30,Expert System Warning,1.43s before fault,High,58.05,38.14,96.19,49.96
30,Proposed Lesion Elimination,23.02s before fault,Very Low (Smooth derating),1.62,8.8,10.43,5.42
31,SCADA Threshold Trip,At Fault (0s),Very High,119.04,51.64,170.68,100.0
31,Expert System Warning,2.74s before fault,High,56.48,43.86,100.34,58.79
31,Proposed Lesion Elimination,24.77s before fault,Very Low (Smooth derating),2.48,8.26,10.74,6.29
32,SCADA Threshold Trip,At Fault (0s),Very High,137.84,43.86,181.7,100.0
32,Expert System Warning,2.62s before fault,High,50.08,45.39,95.47,52.54
32,Proposed Lesion Elimination,18.71s before fault,Very Low (Smooth derating),2.06,8.35,10.41,5.73
33,SCADA Threshold Trip,At Fault (0s),Very High,117.4,50.08,167.48,100.0
33,Expert System Warning,1.65s before fault,High,31.85,37.39,69.24,41.34
33,Proposed Lesion Elimination,23.91s before fault,Very Low (Smooth derating),0.92,7.51,8.43,5.03
34,SCADA Threshold Trip,At Fault (0s),Very High,110.42,43.38,153.8,100.0
34,Expert System Warning,1.45s before fault,High,39.4,43.18,82.58,53.69
34,Proposed Lesion Elimination,23.36s before fault,Very Low (Smooth derating),3.13,7.81,10.94,7.11
35,SCADA Threshold Trip,At Fault (0s),Very High,134.73,48.38,183.1,100.0
35,Expert System Warning,2.04s before fault,High,44.84,40.68,85.52,46.71
35,Proposed Lesion Elimination,16.82s before fault,Very Low (Smooth derating),1.18,7.11,8.29,4.53
36,SCADA Threshold Trip,At Fault (0s),Very High,135.34,62.2,197.54,100.0
36,Expert System Warning,2.22s before fault,High,49.6,45.22,94.82,48.0
36,Proposed Lesion Elimination,24.36s before fault,Very Low (Smooth derating),2.14,9.26,11.4,5.77
37,SCADA Threshold Trip,At Fault (0s),Very High,121.56,49.69,171.25,100.0
37,Expert System Warning,1.12s before fault,High,49.42,41.74,91.17,53.24
37,Proposed Lesion Elimination,12.03s before fault,Very Low (Smooth derating),1.95,6.81,8.76,5.11
38,SCADA Threshold Trip,At Fault (0s),Very High,105.17,44.48,149.65,100.0
38,Expert System Warning,2.61s before fault,High,48.17,34.85,83.03,55.48
38,Proposed Lesion Elimination,22.21s before fault,Very Low (Smooth derating),2.47,7.51,9.98,6.67
39,SCADA Threshold Trip,At Fault (0s),Very High,105.26,48.88,154.14,100.0
39,Expert System Warning,1.36s before fault,High,49.41,38.62,88.03,57.11
39,Proposed Lesion Elimination,20.5s before fault,Very Low (Smooth derating),2.16,7.9,10.06,6.53
40,SCADA Threshold Trip,At Fault (0s),Very High,96.11,52.2,148.31,100.0
40,Expert System Warning,2.93s before fault,High,44.4,48.09,92.49,62.36
40,Proposed Lesion Elimination,21.0s before fault,Very Low (Smooth derating),1.79,8.63,10.41,7.02
41,SCADA Threshold Trip,At Fault (0s),Very High,121.83,52.72,174.55,100.0
41,Expert System Warning,2.64s before fault,High,48.21,41.36,89.57,51.32
41,Proposed Lesion Elimination,14.24s before fault,Very Low (Smooth derating),2.87,7.1,9.97,5.71
42,SCADA Threshold Trip,At Fault (0s),Very High,101.34,46.54,147.88,100.0
42,Expert System Warning,2.56s before fault,High,40.52,45.71,86.23,58.31
42,Proposed Lesion Elimination,18.47s before fault,Very Low (Smooth derating),2.14,7.83,9.97,6.74
43,SCADA Threshold Trip,At Fault (0s),Very High,107.47,60.73,168.2,100.0
43,Expert System Warning,2.17s before fault,High,39.12,44.6,83.72,49.77
43,Proposed Lesion Elimination,27.26s before fault,Very Low (Smooth derating),1.94,8.31,10.25,6.09
44,SCADA Threshold Trip,At Fault (0s),Very High,120.66,49.26,169.92,100.0
44,Expert System Warning,2.21s before fault,High,47.14,36.35,83.49,49.14
44,Proposed Lesion Elimination,17.82s before fault,Very Low (Smooth derating),3.29,8.41,11.7,6.89
45,SCADA Threshold Trip,At Fault (0s),Very High,107.94,58.2,166.14,100.0
45,Expert System Warning,1.86s before fault,High,53.83,46.41,100.24,60.33
45,Proposed Lesion Elimination,29.83s before fault,Very Low (Smooth derating),2.81,9.07,11.88,7.15
46,SCADA Threshold Trip,At Fault (0s),Very High,114.31,48.98,163.3,100.0
46,Expert System Warning,1.17s before fault,High,39.31,38.1,77.41,47.4
46,Proposed Lesion Elimination,17.1s before fault,Very Low (Smooth derating),1.62,8.53,10.15,6.22
47,SCADA Threshold Trip,At Fault (0s),Very High,123.51,42.22,165.73,100.0
47,Expert System Warning,2.76s before fault,High,61.94,44.35,106.29,64.14
47,Proposed Lesion Elimination,16.49s before fault,Very Low (Smooth derating),1.4,9.73,11.12,6.71
48,SCADA Threshold Trip,At Fault (0s),Very High,145.09,52.1,197.18,100.0
48,Expert System Warning,1.93s before fault,High,39.55,42.89,82.44,41.81
48,Proposed Lesion Elimination,29.15s before fault,Very Low (Smooth derating),1.54,9.04,10.58,5.36
49,SCADA Threshold Trip,At Fault (0s),Very High,122.54,42.93,165.47,100.0
49,Expert System Warning,1.19s before fault,High,42.55,48.83,91.38,55.22
49,Proposed Lesion Elimination,16.95s before fault,Very Low (Smooth derating),2.3,9.59,11.9,7.19
50,SCADA Threshold Trip,At Fault (0s),Very High,103.62,48.42,152.03,100.0
50,Expert System Warning,2.98s before fault,High,51.24,42.79,94.03,61.85
50,Proposed Lesion Elimination,26.84s before fault,Very Low (Smooth derating),2.2,10.82,13.02,8.56
51,SCADA Threshold Trip,At Fault (0s),Very High,122.88,48.45,171.34,100.0
51,Expert System Warning,1.26s before fault,High,49.66,44.51,94.17,54.96
51,Proposed Lesion Elimination,24.17s before fault,Very Low (Smooth derating),1.33,7.71,9.05,5.28
52,SCADA Threshold Trip,At Fault (0s),Very High,92.46,52.54,145.0,100.0
52,Expert System Warning,1.79s before fault,High,35.95,51.12,87.07,60.05
52,Proposed Lesion Elimination,20.31s before fault,Very Low (Smooth derating),2.42,8.49,10.91,7.53
53,SCADA Threshold Trip,At Fault (0s),Very High,121.23,49.51,170.73,100.0
53,Expert System Warning,1.76s before fault,High,49.8,44.77,94.57,55.39
53,Proposed Lesion Elimination,16.09s before fault,Very Low (Smooth derating),1.62,8.33,9.95,5.83
54,SCADA Threshold Trip,At Fault (0s),Very High,128.05,45.51,173.56,100.0
54,Expert System Warning,1.69s before fault,High,46.36,42.7,89.07,51.32
54,Proposed Lesion Elimination,26.45s before fault,Very Low (Smooth derating),2.41,8.47,10.88,6.27
55,SCADA Threshold Trip,At Fault (0s),Very High,140.85,52.79,193.64,100.0
55,Expert System Warning,1.35s before fault,High,45.51,32.4,77.91,40.23
55,Proposed Lesion Elimination,12.93s before fault,Very Low (Smooth derating),1.91,7.89,9.8,5.06
56,SCADA Threshold Trip,At Fault (0s),Very High,120.85,52.65,173.5,100.0
56,Expert System Warning,2.93s before fault,High,39.83,35.29,75.12,43.3
56,Proposed Lesion Elimination,20.12s before fault,Very Low (Smooth derating),1.93,7.56,9.49,5.47
57,SCADA Threshold Trip,At Fault (0s),Very High,101.85,53.0,154.85,100.0
57,Expert System Warning,2.24s before fault,High,48.34,38.63,86.97,56.16
57,Proposed Lesion Elimination,11.23s before fault,Very Low (Smooth derating),2.75,8.29,11.03,7.12
58,SCADA Threshold Trip,At Fault (0s),Very High,122.23,48.31,170.54,100.0
58,Expert System Warning,2.97s before fault,High,41.71,40.25,81.96,48.06
58,Proposed Lesion Elimination,12.43s before fault,Very Low (Smooth derating),1.85,7.89,9.74,5.71
59,SCADA Threshold Trip,At Fault (0s),Very High,114.18,50.85,165.03,100.0
59,Expert System Warning,2.02s before fault,High,52.3,36.36,88.66,53.73
59,Proposed Lesion Elimination,22.48s before fault,Very Low (Smooth derating),2.47,5.95,8.41,5.1
60,SCADA Threshold Trip,At Fault (0s),Very High,99.5,48.88,148.37,100.0
60,Expert System Warning,1.74s before fault,High,42.47,47.33,89.8,60.52
60,Proposed Lesion Elimination,24.67s before fault,Very Low (Smooth derating),0.7,7.92,8.63,5.82
61,SCADA Threshold Trip,At Fault (0s),Very High,111.81,51.96,163.77,100.0
61,Expert System Warning,2.07s before fault,High,44.75,38.52,83.28,50.85
61,Proposed Lesion Elimination,20.96s before fault,Very Low (Smooth derating),1.92,9.7,11.62,7.09
62,SCADA Threshold Trip,At Fault (0s),Very High,119.59,45.33,164.92,100.0
62,Expert System Warning,1.3s before fault,High,38.1,47.17,85.27,51.7
62,Proposed Lesion Elimination,19.52s before fault,Very Low (Smooth derating),1.19,7.13,8.32,5.05
63,SCADA Threshold Trip,At Fault (0s),Very High,142.07,48.95,191.02,100.0
63,Expert System Warning,2.78s before fault,High,36.03,47.07,83.1,43.5
63,Proposed Lesion Elimination,18.75s before fault,Very Low (Smooth derating),1.76,9.18,10.93,5.72
64,SCADA Threshold Trip,At Fault (0s),Very High,152.36,46.97,199.33,100.0
64,Expert System Warning,2.32s before fault,High,51.4,43.61,95.0,47.66
64,Proposed Lesion Elimination,22.28s before fault,Very Low (Smooth derating),1.62,8.53,10.16,5.09
65,SCADA Threshold Trip,At Fault (0s),Very High,126.9,46.61,173.51,100.0
65,Expert System Warning,2.02s before fault,High,45.72,41.58,87.3,50.32
65,Proposed Lesion Elimination,11.7s before fault,Very Low (Smooth derating),2.09,8.13,10.23,5.89
66,SCADA Threshold Trip,At Fault (0s),Very High,99.79,45.14,144.94,100.0
66,Expert System Warning,1.7s before fault,High,54.26,45.22,99.48,68.64
66,Proposed Lesion Elimination,13.7s before fault,Very Low (Smooth derating),2.36,9.69,12.05,8.31
67,SCADA Threshold Trip,At Fault (0s),Very High,134.94,46.22,181.16,100.0
67,Expert System Warning,2.25s before fault,High,40.98,37.49,78.47,43.32
67,Proposed Lesion Elimination,12.43s before fault,Very Low (Smooth derating),2.28,9.83,12.11,6.68
68,SCADA Threshold Trip,At Fault (0s),Very High,126.84,60.83,187.66,100.0
68,Expert System Warning,1.08s before fault,High,59.39,48.32,107.72,57.4
68,Proposed Lesion Elimination,24.96s before fault,Very Low (Smooth derating),2.54,9.04,11.57,6.17
69,SCADA Threshold Trip,At Fault (0s),Very High,114.53,45.8,160.33,100.0
69,Expert System Warning,2.86s before fault,High,34.75,40.12,74.87,46.7
69,Proposed Lesion Elimination,18.64s before fault,Very Low (Smooth derating),1.45,10.56,12.0,7.49
70,SCADA Threshold Trip,At Fault (0s),Very High,116.68,48.62,165.3,100.0
70,Expert System Warning,2.77s before fault,High,52.3,37.14,89.44,54.11
70,Proposed Lesion Elimination,26.32s before fault,Very Low (Smooth derating),2.14,8.33,10.47,6.34
71,SCADA Threshold Trip,At Fault (0s),Very High,116.27,58.04,174.31,100.0
71,Expert System Warning,2.68s before fault,High,50.88,46.05,96.93,55.61
71,Proposed Lesion Elimination,23.12s before fault,Very Low (Smooth derating),1.35,8.68,10.03,5.76
72,SCADA Threshold Trip,At Fault (0s),Very High,126.0,46.74,172.74,100.0
72,Expert System Warning,2.64s before fault,High,33.06,42.62,75.69,43.82
72,Proposed Lesion Elimination,26.81s before fault,Very Low (Smooth derating),2.85,8.81,11.66,6.75
73,SCADA Threshold Trip,At Fault (0s),Very High,123.61,63.01,186.62,100.0
73,Expert System Warning,1.6s before fault,High,49.99,49.75,99.73,53.44
73,Proposed Lesion Elimination,27.47s before fault,Very Low (Smooth derating),2.34,9.79,12.13,6.5
74,SCADA Threshold Trip,At Fault (0s),Very High,117.92,43.88,161.8,100.0
74,Expert System Warning,1.02s before fault,High,37.59,45.81,83.4,51.54
74,Proposed Lesion Elimination,29.84s before fault,Very Low (Smooth derating),1.57,8.29,9.87,6.1
75,SCADA Threshold Trip,At Fault (0s),Very High,111.29,52.94,164.24,100.0
75,Expert System Warning,2.11s before fault,High,56.57,45.38,101.95,62.08
75,Proposed Lesion Elimination,13.76s before fault,Very Low (Smooth derating),1.7,9.7,11.39,6.94
76,SCADA Threshold Trip,At Fault (0s),Very High,117.99,50.07,168.06,100.0
76,Expert System Warning,2.52s before fault,High,36.15,36.7,72.85,43.35
76,Proposed Lesion Elimination,12.98s before fault,Very Low (Smooth derating),1.81,9.22,11.04,6.57
77,SCADA Threshold Trip,At Fault (0s),Very High,145.9,48.0,193.91,100.0
77,Expert System Warning,2.77s before fault,High,56.66,35.7,92.36,47.63
77,Proposed Lesion Elimination,18.25s before fault,Very Low (Smooth derating),2.63,6.97,9.61,4.95
78,SCADA Threshold Trip,At Fault (0s),Very High,111.72,62.79,174.51,100.0
78,Expert System Warning,2.28s before fault,High,39.5,43.01,82.5,47.28
78,Proposed Lesion Elimination,21.23s before fault,Very Low (Smooth derating),2.6,10.56,13.17,7.54
79,SCADA Threshold Trip,At Fault (0s),Very High,135.36,52.96,188.32,100.0
79,Expert System Warning,1.54s before fault,High,55.5,42.47,97.97,52.02
79,Proposed Lesion Elimination,11.54s before fault,Very Low (Smooth derating),1.77,8.33,10.1,5.36
80,SCADA Threshold Trip,At Fault (0s),Very High,130.45,54.78,185.22,100.0
80,Expert System Warning,2.58s before fault,High,51.41,31.41,82.81,44.71
80,Proposed Lesion Elimination,12.95s before fault,Very Low (Smooth derating),1.07,7.78,8.85,4.78
81,SCADA Threshold Trip,At Fault (0s),Very High,118.76,49.39,168.15,100.0
81,Expert System Warning,2.2s before fault,High,49.61,43.26,92.87,55.23
81,Proposed Lesion Elimination,18.42s before fault,Very Low (Smooth derating),2.29,9.72,12.01,7.14
82,SCADA Threshold Trip,At Fault (0s),Very High,116.6,45.2,161.81,100.0
82,Expert System Warning,2.68s before fault,High,29.5,47.29,76.8,47.46
82,Proposed Lesion Elimination,21.76s before fault,Very Low (Smooth derating),1.44,8.01,9.45,5.84
83,SCADA Threshold Trip,At Fault (0s),Very High,122.11,41.16,163.27,100.0
83,Expert System Warning,1.6s before fault,High,43.44,46.63,90.07,55.17
83,Proposed Lesion Elimination,26.84s before fault,Very Low (Smooth derating),1.73,9.01,10.75,6.58
84,SCADA Threshold Trip,At Fault (0s),Very High,102.45,35.64,138.09,100.0
84,Expert System Warning,1.27s before fault,High,41.97,43.32,85.3,61.77
84,Proposed Lesion Elimination,19.93s before fault,Very Low (Smooth derating),1.77,10.16,11.93,8.64
85,SCADA Threshold Trip,At Fault (0s),Very High,110.97,52.34,163.31,100.0
85,Expert System Warning,2.22s before fault,High,40.41,44.08,84.49,51.74
85,Proposed Lesion Elimination,23.14s before fault,Very Low (Smooth derating),1.9,8.4,10.3,6.31
86,SCADA Threshold Trip,At Fault (0s),Very High,106.83,45.87,152.7,100.0
86,Expert System Warning,2.81s before fault,High,37.62,39.14,76.76,50.27
86,Proposed Lesion Elimination,25.19s before fault,Very Low (Smooth derating),1.86,9.99,11.86,7.77
87,SCADA Threshold Trip,At Fault (0s),Very High,119.68,46.26,165.94,100.0
87,Expert System Warning,1.07s before fault,High,35.95,42.91,78.86,47.52
87,Proposed Lesion Elimination,18.22s before fault,Very Low (Smooth derating),1.86,9.24,11.1,6.69
88,SCADA Threshold Trip,At Fault (0s),Very High,121.0,52.58,173.58,100.0
88,Expert System Warning,2.87s before fault,High,40.17,42.06,82.23,47.37
88,Proposed Lesion Elimination,15.2s before fault,Very Low (Smooth derating),1.37,9.29,10.67,6.15
89,SCADA Threshold Trip,At Fault (0s),Very High,124.4,43.22,167.62,100.0
89,Expert System Warning,1.93s before fault,High,47.78,42.82,90.6,54.05
89,Proposed Lesion Elimination,16.99s before fault,Very Low (Smooth derating),1.59,7.77,9.36,5.58
90,SCADA Threshold Trip,At Fault (0s),Very High,123.01,55.74,178.75,100.0
90,Expert System Warning,2.05s before fault,High,46.22,41.32,87.54,48.97
90,Proposed Lesion Elimination,24.16s before fault,Very Low (Smooth derating),2.04,7.67,9.72,5.44
91,SCADA Threshold Trip,At Fault (0s),Very High,103.92,35.39,139.31,100.0
91,Expert System Warning,1.33s before fault,High,61.08,40.71,101.79,73.06
91,Proposed Lesion Elimination,18.24s before fault,Very Low (Smooth derating),3.03,9.12,12.15,8.72
92,SCADA Threshold Trip,At Fault (0s),Very High,120.31,46.36,166.67,100.0
92,Expert System Warning,2.61s before fault,High,44.53,39.91,84.44,50.66
92,Proposed Lesion Elimination,25.73s before fault,Very Low (Smooth derating),1.6,7.85,9.45,5.67
93,SCADA Threshold Trip,At Fault (0s),Very High,112.76,45.23,157.99,100.0
93,Expert System Warning,2.51s before fault,High,45.76,36.72,82.48,52.2
93,Proposed Lesion Elimination,27.56s before fault,Very Low (Smooth derating),1.22,8.21,9.43,5.97
94,SCADA Threshold Trip,At Fault (0s),Very High,133.25,49.61,182.86,100.0
94,Expert System Warning,2.08s before fault,High,44.96,38.61,83.56,45.7
94,Proposed Lesion Elimination,23.14s before fault,Very Low (Smooth derating),2.57,8.07,10.65,5.82
95,SCADA Threshold Trip,At Fault (0s),Very High,121.7,42.81,164.51,100.0
95,Expert System Warning,1.57s before fault,High,55.95,43.95,99.9,60.73
95,Proposed Lesion Elimination,22.69s before fault,Very Low (Smooth derating),2.64,8.05,10.69,6.5
96,SCADA Threshold Trip,At Fault (0s),Very High,121.02,54.26,175.28,100.0
96,Expert System Warning,1.32s before fault,High,50.25,46.43,96.68,55.16
96,Proposed Lesion Elimination,16.34s before fault,Very Low (Smooth derating),1.8,8.17,9.96,5.68
97,SCADA Threshold Trip,At Fault (0s),Very High,105.67,52.12,157.79,100.0
97,Expert System Warning,1.88s before fault,High,46.63,39.56,86.19,54.62
97,Proposed Lesion Elimination,27.65s before fault,Very Low (Smooth derating),2.71,8.52,11.23,7.12
98,SCADA Threshold Trip,At Fault (0s),Very High,118.81,52.26,171.07,100.0
98,Expert System Warning,2.97s before fault,High,56.46,47.09,103.55,60.53
98,Proposed Lesion Elimination,13.32s before fault,Very Low (Smooth derating),2.49,8.31,10.81,6.32
99,SCADA Threshold Trip,At Fault (0s),Very High,137.81,62.95,200.76,100.0
99,Expert System Warning,2.44s before fault,High,49.77,39.28,89.05,44.36
99,Proposed Lesion Elimination,27.16s before fault,Very Low (Smooth derating),2.66,8.67,11.33,5.64
100,SCADA Threshold Trip,At Fault (0s),Very High,104.9,55.7,160.6,100.0
100,Expert System Warning,1.94s before fault,High,55.45,41.84,97.29,60.58
100,Proposed Lesion Elimination,17.16s before fault,Very Low (Smooth derating),1.99,9.8,11.79,7.34
