Trial_ID,Model_Architecture,Trigger_Latency_ms,Prediction_Error_MAPE_%,Pre_warning_Lead_Time_s
15,Traditional LSTM,782,17.36,3.23
15,Pure ST-GCN,326,10.22,5.84
15,Proposed CNN+Transformer,41,5.45,11.26
16,Traditional LSTM,955,16.96,3.1
16,Pure ST-GCN,362,10.61,5.93
16,Proposed CNN+Transformer,49,4.36,12.63
17,Traditional LSTM,867,19.84,2.8
17,Pure ST-GCN,304,12.73,5.97
17,Proposed CNN+Transformer,45,5.38,11.56
18,Traditional LSTM,865,18.94,2.97
18,Pure ST-GCN,390,12.67,5.11
18,Proposed CNN+Transformer,47,4.69,13.38
19,Traditional LSTM,928,16.89,3.51
19,Pure ST-GCN,351,13.09,6.9
19,Proposed CNN+Transformer,44,4.81,11.3
20,Traditional LSTM,794,18.26,3.31
20,Pure ST-GCN,347,13.1,5.81
20,Proposed CNN+Transformer,50,5.06,15.77
21,Traditional LSTM,892,16.82,2.86
21,Pure ST-GCN,353,11.83,6.21
21,Proposed CNN+Transformer,46,5.16,11.35
22,Traditional LSTM,746,17.58,3.47
22,Pure ST-GCN,345,10.59,5.9
22,Proposed CNN+Transformer,46,4.74,12.59
23,Traditional LSTM,853,16.3,3.31
23,Pure ST-GCN,355,13.41,6.41
23,Proposed CNN+Transformer,40,4.71,13.04
24,Traditional LSTM,884,19.35,4.43
24,Pure ST-GCN,355,13.47,6.35
24,Proposed CNN+Transformer,47,5.04,13.34
25,Traditional LSTM,797,17.96,3.04
25,Pure ST-GCN,342,14.9,4.72
25,Proposed CNN+Transformer,47,4.36,11.81
26,Traditional LSTM,924,18.52,2.86
26,Pure ST-GCN,320,12.92,5.38
26,Proposed CNN+Transformer,45,5.22,11.59
27,Traditional LSTM,995,19.57,2.55
27,Pure ST-GCN,345,11.3,6.29
27,Proposed CNN+Transformer,42,5.14,13.03
28,Traditional LSTM,908,16.19,3.09
28,Pure ST-GCN,327,11.31,6.82
28,Proposed CNN+Transformer,46,4.54,13.54
29,Traditional LSTM,994,20.3,2.71
29,Pure ST-GCN,326,13.63,5.39
29,Proposed CNN+Transformer,46,5.6,11.25
30,Traditional LSTM,845,12.44,2.87
30,Pure ST-GCN,333,10.59,6.75
30,Proposed CNN+Transformer,39,4.97,12.56
31,Traditional LSTM,948,15.76,3.57
31,Pure ST-GCN,340,10.91,6.07
31,Proposed CNN+Transformer,45,4.89,12.49
32,Traditional LSTM,823,18.61,3.41
32,Pure ST-GCN,383,10.6,7.04
32,Proposed CNN+Transformer,37,5.12,13.13
33,Traditional LSTM,869,17.25,3.13
33,Pure ST-GCN,326,11.39,6.29
33,Proposed CNN+Transformer,46,4.84,13.52
34,Traditional LSTM,870,19.9,3.4
34,Pure ST-GCN,317,11.42,6.23
34,Proposed CNN+Transformer,47,5.19,12.55
35,Traditional LSTM,936,17.31,3.38
35,Pure ST-GCN,334,11.84,6.44
35,Proposed CNN+Transformer,47,5.62,14.02
36,Traditional LSTM,851,19.65,3.1
36,Pure ST-GCN,348,11.94,5.86
36,Proposed CNN+Transformer,47,4.77,14.99
37,Traditional LSTM,781,16.17,3.57
37,Pure ST-GCN,361,12.86,6.16
37,Proposed CNN+Transformer,44,4.73,12.49
38,Traditional LSTM,803,20.19,3.15
38,Pure ST-GCN,317,11.71,6.04
38,Proposed CNN+Transformer,42,4.77,12.7
39,Traditional LSTM,866,17.47,3.05
39,Pure ST-GCN,346,10.35,4.98
39,Proposed CNN+Transformer,42,5.09,12.79
40,Traditional LSTM,950,19.98,3.15
40,Pure ST-GCN,339,10.89,5.79
40,Proposed CNN+Transformer,43,5.37,11.37
41,Traditional LSTM,885,21.22,3.17
41,Pure ST-GCN,350,12.94,5.57
41,Proposed CNN+Transformer,45,5.21,12.52
42,Traditional LSTM,797,18.45,3.36
42,Pure ST-GCN,379,13.26,7.05
42,Proposed CNN+Transformer,42,5.65,12.63
43,Traditional LSTM,998,16.91,2.93
43,Pure ST-GCN,323,9.53,5.5
43,Proposed CNN+Transformer,42,5.28,12.82
44,Traditional LSTM,977,20.15,3.02
44,Pure ST-GCN,315,12.7,5.03
44,Proposed CNN+Transformer,51,5.81,11.82
45,Traditional LSTM,733,20.89,3.16
45,Pure ST-GCN,373,10.17,5.45
45,Proposed CNN+Transformer,45,5.22,11.84
46,Traditional LSTM,892,16.44,3.15
46,Pure ST-GCN,343,12.72,6.21
46,Proposed CNN+Transformer,40,4.4,13.98
47,Traditional LSTM,872,17.02,3.7
47,Pure ST-GCN,343,13.53,5.84
47,Proposed CNN+Transformer,52,6.11,12.09
48,Traditional LSTM,916,19.59,3.64
48,Pure ST-GCN,313,12.93,6.41
48,Proposed CNN+Transformer,38,4.58,9.87
49,Traditional LSTM,831,19.72,3.68
49,Pure ST-GCN,342,14.07,5.0
49,Proposed CNN+Transformer,38,5.17,12.88
50,Traditional LSTM,847,14.6,3.17
50,Pure ST-GCN,304,12.91,6.01
50,Proposed CNN+Transformer,41,4.93,11.09
51,Traditional LSTM,845,20.16,2.88
51,Pure ST-GCN,353,11.46,5.34
51,Proposed CNN+Transformer,44,4.66,11.71
52,Traditional LSTM,768,22.02,3.21
52,Pure ST-GCN,320,12.36,5.73
52,Proposed CNN+Transformer,44,5.52,13.34
53,Traditional LSTM,813,17.34,3.11
53,Pure ST-GCN,277,10.27,6.59
53,Proposed CNN+Transformer,50,5.07,13.11
54,Traditional LSTM,871,24.07,3.56
54,Pure ST-GCN,336,10.94,4.87
54,Proposed CNN+Transformer,45,4.81,10.64
55,Traditional LSTM,806,16.41,3.74
55,Pure ST-GCN,363,12.09,6.66
55,Proposed CNN+Transformer,45,4.75,14.29
56,Traditional LSTM,886,16.49,3.14
56,Pure ST-GCN,316,10.43,6.34
56,Proposed CNN+Transformer,51,4.47,13.1
57,Traditional LSTM,805,17.5,3.01
57,Pure ST-GCN,316,12.16,5.32
57,Proposed CNN+Transformer,45,5.17,12.1
58,Traditional LSTM,788,17.34,3.44
58,Pure ST-GCN,353,10.92,5.86
58,Proposed CNN+Transformer,47,4.33,13.07
59,Traditional LSTM,804,19.45,2.96
59,Pure ST-GCN,290,10.13,5.83
59,Proposed CNN+Transformer,45,4.73,13.19
60,Traditional LSTM,737,18.28,2.81
60,Pure ST-GCN,322,12.16,5.3
60,Proposed CNN+Transformer,43,5.72,11.68
61,Traditional LSTM,906,16.32,3.37
61,Pure ST-GCN,379,9.11,5.34
61,Proposed CNN+Transformer,47,5.09,12.86
62,Traditional LSTM,808,18.56,3.15
62,Pure ST-GCN,371,12.41,6.0
62,Proposed CNN+Transformer,43,4.95,11.86
63,Traditional LSTM,876,17.63,3.29
63,Pure ST-GCN,396,13.15,5.61
63,Proposed CNN+Transformer,49,4.99,9.87
64,Traditional LSTM,781,14.96,3.09
64,Pure ST-GCN,340,14.13,5.99
64,Proposed CNN+Transformer,44,5.63,9.66
65,Traditional LSTM,866,19.82,2.73
65,Pure ST-GCN,371,12.51,5.56
65,Proposed CNN+Transformer,47,6.38,12.63
66,Traditional LSTM,866,17.55,2.93
66,Pure ST-GCN,362,11.06,5.84
66,Proposed CNN+Transformer,43,5.45,12.81
67,Traditional LSTM,920,17.46,3.11
67,Pure ST-GCN,313,11.56,6.02
67,Proposed CNN+Transformer,47,4.72,13.48
68,Traditional LSTM,942,19.16,3.8
68,Pure ST-GCN,318,10.59,4.77
68,Proposed CNN+Transformer,50,5.54,12.33
69,Traditional LSTM,869,16.33,3.98
69,Pure ST-GCN,343,12.23,6.22
69,Proposed CNN+Transformer,46,5.32,11.42
70,Traditional LSTM,882,21.86,3.63
70,Pure ST-GCN,383,11.48,5.23
70,Proposed CNN+Transformer,44,5.23,13.76
71,Traditional LSTM,734,21.21,3.15
71,Pure ST-GCN,328,10.88,4.84
71,Proposed CNN+Transformer,47,5.24,10.8
72,Traditional LSTM,761,17.78,3.73
72,Pure ST-GCN,332,10.28,5.66
72,Proposed CNN+Transformer,44,3.8,12.33
73,Traditional LSTM,834,19.68,3.79
73,Pure ST-GCN,370,11.77,5.16
73,Proposed CNN+Transformer,54,5.23,12.42
74,Traditional LSTM,848,18.76,3.15
74,Pure ST-GCN,324,11.44,5.78
74,Proposed CNN+Transformer,43,4.83,12.53
75,Traditional LSTM,832,21.17,2.35
75,Pure ST-GCN,369,13.61,4.6
75,Proposed CNN+Transformer,43,5.01,10.65
76,Traditional LSTM,797,16.36,3.76
76,Pure ST-GCN,365,13.64,6.22
76,Proposed CNN+Transformer,40,4.93,13.01
77,Traditional LSTM,766,19.71,3.12
77,Pure ST-GCN,329,12.96,6.06
77,Proposed CNN+Transformer,43,5.8,11.06
78,Traditional LSTM,891,19.49,3.1
78,Pure ST-GCN,348,10.59,6.34
78,Proposed CNN+Transformer,44,4.93,13.7
79,Traditional LSTM,802,15.81,2.7
79,Pure ST-GCN,356,10.55,6.82
79,Proposed CNN+Transformer,37,6.08,12.66
80,Traditional LSTM,843,17.4,3.33
80,Pure ST-GCN,338,13.43,5.87
80,Proposed CNN+Transformer,45,5.01,12.33
81,Traditional LSTM,870,15.25,2.77
81,Pure ST-GCN,360,12.31,5.69
81,Proposed CNN+Transformer,45,5.38,11.73
82,Traditional LSTM,797,18.76,2.89
82,Pure ST-GCN,351,10.04,6.4
82,Proposed CNN+Transformer,46,5.33,13.62
83,Traditional LSTM,963,20.27,2.61
83,Pure ST-GCN,305,11.34,5.82
83,Proposed CNN+Transformer,46,4.82,12.63
84,Traditional LSTM,798,17.27,2.75
84,Pure ST-GCN,314,10.46,5.23
84,Proposed CNN+Transformer,48,4.71,15.66
85,Traditional LSTM,883,18.74,2.93
85,Pure ST-GCN,359,11.4,5.87
85,Proposed CNN+Transformer,54,5.15,13.83
86,Traditional LSTM,802,18.34,3.77
86,Pure ST-GCN,322,14.29,6.21
86,Proposed CNN+Transformer,42,5.53,13.61
87,Traditional LSTM,892,15.51,2.97
87,Pure ST-GCN,333,12.01,6.16
87,Proposed CNN+Transformer,45,4.51,12.87
88,Traditional LSTM,891,19.43,3.55
88,Pure ST-GCN,362,12.66,5.76
88,Proposed CNN+Transformer,39,5.42,12.66
89,Traditional LSTM,868,16.05,2.85
89,Pure ST-GCN,368,12.05,6.2
89,Proposed CNN+Transformer,45,5.22,13.56
90,Traditional LSTM,814,18.58,3.05
90,Pure ST-GCN,328,11.73,5.93
90,Proposed CNN+Transformer,43,5.85,11.29
91,Traditional LSTM,837,17.59,3.66
91,Pure ST-GCN,345,13.35,4.94
91,Proposed CNN+Transformer,45,5.66,12.5
92,Traditional LSTM,922,17.45,3.65
92,Pure ST-GCN,402,11.66,5.54
92,Proposed CNN+Transformer,50,6.02,11.75
93,Traditional LSTM,821,17.88,2.77
93,Pure ST-GCN,315,10.88,5.35
93,Proposed CNN+Transformer,44,5.32,14.32
94,Traditional LSTM,782,20.21,3.13
94,Pure ST-GCN,338,12.92,5.15
94,Proposed CNN+Transformer,46,5.29,13.01
95,Traditional LSTM,869,22.92,3.0
95,Pure ST-GCN,325,11.35,5.48
95,Proposed CNN+Transformer,42,5.82,14.16
96,Traditional LSTM,811,16.87,3.35
96,Pure ST-GCN,324,12.87,5.92
96,Proposed CNN+Transformer,39,6.0,14.63
97,Traditional LSTM,808,17.69,3.29
97,Pure ST-GCN,349,12.9,6.97
97,Proposed CNN+Transformer,44,4.78,10.69
98,Traditional LSTM,800,18.34,3.77
98,Pure ST-GCN,325,12.37,5.79
98,Proposed CNN+Transformer,49,6.51,11.74
99,Traditional LSTM,816,20.32,3.42
99,Pure ST-GCN,390,12.81,5.59
99,Proposed CNN+Transformer,47,5.78,13.42
100,Traditional LSTM,884,20.36,3.57
100,Pure ST-GCN,377,12.88,5.7
100,Proposed CNN+Transformer,45,5.83,11.39
